Tweets,Sentiment
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
RT @WorshipCamryn: Discussing the impact the #metoo movement has had on the adult industry with @thereallisaann here. https://t.co/NL6B6Eub…,positive
"""Chinese feminists found a way around [Weibo blocking #MeToo hash] they began using #RiceBunny in its place along w th…",neutral
"RT @WriterAwareness: 4 incredible female writers, 4 phenomenal female directors, 1 powerful night of female voices. Do you believe in #Meto…",positive
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
RT @AchieveThis: The #MeToo Movement Looms Over Jury Selection in Bill Cosby Case https://t.co/88UdaFs55l https://t.co/y1GeqqItEf,neutral
Had one of my most challenging interviews on the recent #metoo supporter at the #tonyrobbins event. Interview will be up later today,positive
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
"CNN compared a biblical story to the #MeToo movement. Google refused to make any graphics for…""",neutral
"RT @King_of_Ds: In CNN article, reporters Yoonjung Seo &amp; Eric Levenson describe award winning S. Korean entertainer Seohyun as a “starlet”.…",positive
"RT @ChrisJZullo: Why I #RESIST
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
""RT @RealJack: The left has demonized faith.
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
Jury selection is set to get underway in Bill Cosby's sexual assault retrial in a cultural landscape changed by the… https://t.co/fowkmSYOTS,positive
""RT @jennyyangtv: #🍚🐰
""Chinese feminists found a way around [Weibo blocking #MeToo hash] they began using #RiceBunny in its place along w th…",neutral
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
"#…""",neutral
"No Ruby Tuesday for #metoo, anyway they have too much ""russian dressing"" at the salad bar and the food is too expen… https://t.co/8xE2mr2mUk",neutral
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
RT @TraceySpicer: Proud to announce the names of our founding board members at @NOW_aust who will work closely with our 35-strong steering…,positive
"RT @atty2thestars: Times are a changing. In the current push for equality... something's happening with divorce settlements and alimony.
""I guess her bully husband prefers her job to be Social-media &amp; online safety, all with the goal of developing “mora… https://t.co/ClnXArDt8h",neutral
"RT @GloriaSteinem: Dance. Theater. Music. Film. #MeToo. #TimesUp. #SandraBland. Sexual Violence. Healing. Empowerment. SHE, a Choreoplay, m…",positive
RT @helen: watching Ghost Adventures n this fool actually just urged a sex worker ghost to come forward bc of the MeToo Movement LMFAOOOOO…,neutral
"What about @starsandstripes, @MickMulvaneyOMB? It is the most leftwing outlet written in English. As soon as… https://t.co/DI8PBeQIDJ",positive
RT @ljLoch: I can’t tell you how incredibly honoured I am to be Chair @NOW_aust - so many amazing women &amp,positive
"#MeToo movement gains momentum https://t.co/bchscLgPDO""",neutral
"RT @evans_pixie: @willsommer It's true and that's the reason for #TrumpDerangementSyndrome
Trump's mind&amp;acts R absent without leave as commander n chief-also incapable of understanding&amp;making rational milit… https://t.co/f2hHxrzwlC,neutral
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
""When addressing the issue of #sexualharassment in the workplace, business owners need to understand first that no e… https://t.co/eCZn8i1GKJ",positive
"RT @DavidTBangalore: #MeToo #TimesUp
RT @Independent: Female MPs launch #PayMeToo campaign to end gender pay gaps https://t.co/doYabr22c4,neutral
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
Tweets,neutral
Justice in the #MeToo era is not nearly as swift for federal employees https://t.co/R4MWnGnk05,negative
""RT @kashmirVIII: It’s funny because, when the #metoo movement popped off I remember someone saying “omg once it gets to hip hop it’s gonna…",positive
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
"RT @aLastingChange: The @EHRC has called for ""urgent action"" to better protect victims of sexual harassment in the workplace. Here are exam…",positive
"RT @pacelattin: Oh, yes, it's getting worse. Courtney Love claims Ted Nugent raped her when she was 12. @NRA board member. Wow.
Tough Choices for Charities and Schools as #MeToo Taints Their Benefactors https://t.co/CAewIHFOx5,negative

""Who are the young women behind the ‘#MeToo in China’ campaign? Organizer &amp; feminist activist Xiao Meili explains 
""RT @RealJack: The left has demonized faith.
""RT @voguemagazine: The real world took another step toward toward its slow and sure conversion to The Handmaid's Tale this week, as Walmart…",positive
"RT @ladyxscience: It’s time for Feminist Friday! In this week’s roundup:
""RT @NBCNews: When Bill Cosby’s retrial on sexual assault charges begins, legal expect the impact of the #MeToo movement to be felt.  https:…",positive
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
I'm writing an article about pervasive sexual deviance &amp,positive
"RT @NSVRC: The women and men of #MeToo embraced their voices, and now it’s time for you to embrace yours for Sexual Assault Awareness Month…",positive
"we should be glad women want equality not revenge 
""@The_Godless_Fox Now, ""forgivable?"" We have forgiven people for plenty of horrible things, including murder. We adm… https://t.co/WZbmcCVCxT",negative
RT @NBCLA: Jury selection is set to get underway in Bill Cosby’s sexual assault retrial in a cultural landscape changed by the #MeToo movem…,positive
RT @jaybird2414: @PMOIndia @narendramodi Young minds are too busy trying to prove thier innconense in courts #falsecases #498a #DV #crpc125…,positive
"https://t.co/WDawLt7CUW""",negative
"RT @ClaudiaStellar: ""Chinese feminists found a way around [#MeToo censoring]—they began using #RiceBunny in its place along with the rice b…",neutral
"CNN compared a biblical story to the #MeToo movement. Google refused to make any graphics for…""",neutral
RT @kazweida: April is sexual assault awareness month and Donald Trump has urged America to support survivors and work together to prevent…,positive
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
Trump's mind&amp,neutral
"@frw2_white @Uber @Uber_Support At least you are alive n in one piece to complain to Uber.
""RT @jennyyangtv: #🍚🐰
#MarchForOurLives 

""""For a male artist, people instantly assume they write their own music, but for women, they assume it’s all manufac… https://t.co/iqQ0MjOwt7",positive
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
Hard Candy Pulls #MeToo Trademark Application After Backlash https://t.co/3B531syDcN,negative
RT @ljLoch: I can’t tell you how incredibly honoured I am to be Chair @NOW_aust - so many amazing women &amp,positive
"RT @ROTCRadio: #BREAKING Two actresses are reportedly ""willing to talk"" regarding the years of allegations surrounding Dan Schneider. This…",positive
"RT @kashmirVIII: It’s funny because, when the #metoo movement popped off I remember someone saying “omg once it gets to hip hop it’s gonna…",positive
"* Sean Penn’s numbskulled #…""",neutral
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
@dezilahevelyne @shoshannaclaire @BGolbert @RealDylanFarrow MeToo is going to blacklist both Céline Dion and Robert… https://t.co/OQM0vhQqv4,neutral
"RT @jennyyangtv: #🍚🐰
""RT @michelleruiz: Groundbreaking: @walmart is clutching its pearls over @Cosmopolitan but Esquire and Men's Health, please proceed with Sex…",neutral
Oh my God. This #TonyRobbins thing- Wtf? I seriously feel like I might start talking about this subject today and j… https://t.co/RA8ElDFGwu,negative
RT @StormyDaniels: You are implying that women with certain jobs cannot be assaulted. This is a disgusting and terrifying thought process.…,negative
RT @Unifor2002: Nova Scotia misses mark on #DomesticViolence leave https://t.co/q6aoVfDcam via @UniforTheUnion @Lanampayne @nerok39 @Unifor…,neutral
So says the #pussygrabberinchief - #me2 #metoo https://t.co/uWQcC2r5bi,neutral
"@bmwpfs @Uber It could be worst. You could aboard his car and......
""#MeToo movement could impact Bill Cosby's retrial on sexual assault charges when it begins, legal experts say https://t.co/K74SSt2EVc",positive
"RT @amnesty: You say you’re standing with women around the world to make their voices heard. Well, @jack, #HereWeAre telling you that your…",neutral
