idx,word,occurrences
0,rt,39
1,metoo,32
2,’,19
3,women,12
4,cam,11
5,busi,7
6,sexual,6
7,hi,6
8,toni,6
9,age,6
10,becaus,6
11,bt,6
12,share,6
13,thought,6
14,us,6
15,activ,6
16,japanes,6
17,magazin,6
18,movement,5
19,robbin,5
20,think,5
21,polici,5
22,amp,5
23,thing,5
24,good,5
25,time,5
26,senat,5
27,assault,4
28,trump,4
29,thierri,4
30,fremaux,4
31,explain,4
32,fest,4
33,red,4
34,carpet,4
35,selfi,4
36,ban,4
37,netflix,4
38,hardest,4
39,reconcil,4
40,intent,4
41,mean,4
42,voice…,4
43,peopl,4
44,wa,4
45,whi,4
